X(m)	Mach	V(m/s)	P(Pa)	T(K)	Rho(kg/m3)	H	H2	O	O2	OH	HO2	H2O2	AR	H2O	Therm(1/s)
4.08E-06	0.44014134	404.36012	587363.47	1941.6366	1.0022956	5.32E-08	0.021653314	4.11E-08	0.17179168	1.39E-06	4.76E-07	7.92E-10	0.80655231	7.38E-07	-194.72451
4.31E-06	0.4401413	404.36007	587363.5	1941.6364	1.0022957	5.77E-08	0.021653298	4.66E-08	0.17179154	1.44E-06	5.03E-07	8.77E-10	0.80655231	8.11E-07	-188.4009
4.51E-06	0.44014127	404.36002	587363.52	1941.6363	1.0022959	6.18E-08	0.021653283	5.19E-08	0.17179141	1.48E-06	5.26E-07	9.57E-10	0.80655231	8.79E-07	-182.98973
4.71E-06	0.44014124	404.35997	587363.53	1941.6361	1.002296	6.61E-08	0.021653268	5.74E-08	0.17179128	1.53E-06	5.50E-07	1.04E-09	0.80655231	9.48E-07	-177.82901
4.91E-06	0.44014121	404.35993	587363.55	1941.636	1.0022961	7.04E-08	0.021653252	6.33E-08	0.17179114	1.57E-06	5.74E-07	1.13E-09	0.80655231	1.02E-06	-172.90513
5.11E-06	0.44014118	404.35989	587363.57	1941.6358	1.0022962	7.49E-08	0.021653236	6.95E-08	0.17179101	1.61E-06	5.97E-07	1.22E-09	0.80655231	1.09E-06	-168.20513
5.31E-06	0.44014115	404.35985	587363.58	1941.6357	1.0022963	7.94E-08	0.02165322	7.60E-08	0.17179088	1.65E-06	6.21E-07	1.31E-09	0.80655231	1.17E-06	-163.71669
5.51E-06	0.44014112	404.35981	587363.6	1941.6356	1.0022964	8.40E-08	0.021653204	8.28E-08	0.17179074	1.69E-06	6.45E-07	1.40E-09	0.80655231	1.25E-06	-159.4281
5.71E-06	0.4401411	404.35977	587363.62	1941.6354	1.0022965	8.87E-08	0.021653187	8.99E-08	0.17179061	1.73E-06	6.68E-07	1.50E-09	0.80655231	1.33E-06	-155.32823
5.91E-06	0.44014107	404.35973	587363.63	1941.6353	1.0022966	9.34E-08	0.021653171	9.73E-08	0.17179047	1.76E-06	6.92E-07	1.60E-09	0.80655231	1.41E-06	-151.4065
6.11E-06	0.44014104	404.35969	587363.65	1941.6352	1.0022967	9.82E-08	0.021653154	1.05E-07	0.17179033	1.80E-06	7.16E-07	1.71E-09	0.80655231	1.49E-06	-147.65284
6.31E-06	0.44014102	404.35966	587363.66	1941.635	1.0022968	1.03E-07	0.021653136	1.13E-07	0.17179019	1.84E-06	7.40E-07	1.81E-09	0.80655231	1.57E-06	-144.0577
6.51E-06	0.44014099	404.35962	587363.68	1941.6349	1.0022968	1.08E-07	0.021653119	1.21E-07	0.17179005	1.87E-06	7.64E-07	1.92E-09	0.80655231	1.66E-06	-140.61201
6.71E-06	0.44014097	404.35959	587363.69	1941.6348	1.0022969	1.13E-07	0.021653101	1.30E-07	0.17178991	1.91E-06	7.88E-07	2.04E-09	0.80655231	1.75E-06	-137.30713
6.91E-06	0.44014095	404.35955	587363.7	1941.6347	1.002297	1.18E-07	0.021653084	1.39E-07	0.17178976	1.94E-06	8.12E-07	2.15E-09	0.80655231	1.84E-06	-134.13487
7.11E-06	0.44014092	404.35952	587363.72	1941.6346	1.0022971	1.23E-07	0.021653065	1.48E-07	0.17178962	1.97E-06	8.36E-07	2.27E-09	0.80655231	1.93E-06	-131.08745
7.32E-06	0.4401409	404.35949	587363.73	1941.6345	1.0022972	1.29E-07	0.021653047	1.58E-07	0.17178947	2.01E-06	8.60E-07	2.39E-09	0.80655231	2.02E-06	-128.15747
7.52E-06	0.44014088	404.35946	587363.74	1941.6343	1.0022973	1.34E-07	0.021653029	1.67E-07	0.17178933	2.04E-06	8.84E-07	2.51E-09	0.80655231	2.11E-06	-125.33791
7.72E-06	0.44014086	404.35942	587363.76	1941.6342	1.0022973	1.39E-07	0.02165301	1.78E-07	0.17178918	2.07E-06	9.08E-07	2.64E-09	0.80655231	2.21E-06	-122.62212
7.92E-06	0.44014084	404.35939	587363.77	1941.6341	1.0022974	1.45E-07	0.021652991	1.88E-07	0.17178903	2.10E-06	9.32E-07	2.77E-09	0.80655231	2.30E-06	-120.00375
8.12E-06	0.44014082	404.35936	587363.78	1941.634	1.0022975	1.50E-07	0.021652972	1.99E-07	0.17178888	2.13E-06	9.56E-07	2.90E-09	0.80655231	2.40E-06	-117.4768
8.32E-06	0.4401408	404.35934	587363.79	1941.6339	1.0022976	1.56E-07	0.021652953	2.10E-07	0.17178873	2.16E-06	9.80E-07	3.03E-09	0.80655231	2.50E-06	-115.03558
